Sentence,Target,Guess,Annotator
32,h,s,5
32,h,h,6
32,h,h,7
33,s,s,1
33,s,s,2
33,s,h,3
33,s,h,4
33,s,s,5
33,s,s,6
33,s,s,7
34,h,h,1
34,h,h,2
34,h,s,3
34,h,s,4
34,h,h,5
34,h,h,6
34,h,h,7
35,s,h,1
35,s,s,2
35,s,s,3
35,s,s,4
35,s,h,5
35,s,h,6
35,s,h,7
36,h,s,1
36,h,s,2
36,h,s,3
36,h,h,4
36,h,s,5
36,h,s,6
36,h,s,7
37,h,h,1
37,h,h,2
37,h,h,3
37,h,h,4
37,h,h,5
37,h,s,6
37,h,s,7
38,h,h,1
38,h,s,2
38,h,h,3
38,h,s,4
38,h,s,5
38,h,s,6
38,h,s,7
39,s,s,1
39,s,h,2
39,s,h,3
39,s,h,4
39,s,h,5
39,s,h,6
39,s,h,7
40,h,s,1
40,h,s,2
40,h,s,3
40,h,s,4
40,h,h,5
40,h,s,6
40,h,h,7
41,h,s,1
41,h,h,2
41,h,s,3
41,h,s,4
41,h,h,5
41,h,h,6
41,h,h,7
42,s,h,1
42,s,s,2
42,s,h,3
42,s,h,4
42,s,s,5
42,s,s,6
42,s,s,7
43,s,s,1
43,s,h,2
43,s,s,3
43,s,s,4
43,s,s,5
43,s,h,6
43,s,h,7
44,s,h,1
44,s,s,2
44,s,h,3
44,s,h,4
44,s,h,5
44,s,s,6
44,s,s,7
45,h,h,1
45,h,s,2
45,h,s,3
45,h,s,4
45,h,h,5
45,h,h,6
45,h,s,7
46,s,h,1
46,s,s,2
46,s,h,3
46,s,h,4
46,s,h,5
46,s,h,6
46,s,h,7
47,h,s,1
47,h,s,2
47,h,h,3
47,h,h,4
47,h,h,5
47,h,s,6
47,h,h,7
48,s,s,1
48,s,h,2
48,s,s,3
48,s,s,4
48,s,s,5
48,s,s,6
48,s,s,7
49,s,s,1
49,s,h,2
49,s,s,3
49,s,s,4
49,s,h,5
49,s,h,6
49,s,s,7
50,s,s,1
50,s,s,2
50,s,h,3
50,s,h,4
50,s,s,5
50,s,s,6
50,s,s,7
51,s,h,1
51,s,h,2
51,s,s,3
51,s,s,4
51,s,h,5
51,s,h,6
51,s,s,7
52,s,s,1
52,s,s,2
52,s,h,3
52,s,h,4
52,s,h,5
52,s,s,6
52,s,h,7
53,h,h,1
53,h,h,2
53,h,s,3
53,h,s,4
53,h,h,5
53,h,h,6
53,h,s,7
54,s,h,1
54,s,h,2
54,s,s,3
54,s,s,4
54,s,h,5
54,s,h,6
54,s,h,7
55,h,s,1
55,h,s,2
55,h,s,3
55,h,h,4
55,h,h,5
55,h,h,6
55,h,s,7
56,h,s,1
56,h,h,2
56,h,s,3
56,h,h,4
56,h,h,5
56,h,s,6
56,h,s,7
57,h,s,1
57,h,h,2
57,h,s,3
57,h,s,4
57,h,h,5
57,h,s,6
57,h,s,7
58,s,h,1
58,s,s,2
58,s,h,3
58,s,h,4
58,s,s,5
58,s,s,6
58,s,s,7
59,s,s,1
59,s,s,2
59,s,h,3
59,s,h,4
59,s,s,5
59,s,s,6
59,s,s,7
60,h,h,1
60,h,h,2
60,h,s,3
60,h,s,4
60,h,s,5
60,h,h,6
60,h,h,7
61,s,s,1
61,s,s,2
61,s,s,3
61,s,s,4
61,s,s,5
61,s,s,6
61,s,h,7
62,s,s,1
62,s,h,2
62,s,s,3
62,s,s,4
62,s,h,5
62,s,s,6
62,s,h,7
63,h,h,1
63,h,s,2
63,h,h,3
63,h,h,4
63,h,s,5
63,h,h,6
63,h,s,7
64,h,h,1
64,h,s,2
64,h,h,3
64,h,s,4
64,h,s,5
64,h,h,6
64,h,s,7
65,s,s,1
65,s,h,2
65,s,s,3
65,s,s,4
65,s,s,5
65,s,h,6
65,s,h,7
66,h,s,1
66,h,s,2
66,h,h,3
66,h,s,4
66,h,s,5
66,h,s,6
66,h,s,7
67,h,h,1
67,h,h,2
67,h,s,3
67,h,s,4
67,h,h,5
67,h,h,6
67,h,h,7
68,h,h,1
68,h,h,2
68,h,s,3
68,h,s,4
68,h,h,5
68,h,h,6
68,h,h,7
69,s,s,1
69,s,s,2
69,s,h,3
69,s,h,4
69,s,s,5
69,s,s,6
69,s,s,7
70,s,s,1
70,s,h,2
70,s,h,3
70,s,h,4
70,s,h,5
70,s,h,6
70,s,h,7
71,h,s,1
71,h,s,2
71,h,h,3
71,h,h,4
71,h,h,5
71,h,h,6
71,h,s,7
72,h,h,1
72,h,s,2
72,h,h,3
72,h,s,4
72,h,s,5
72,h,h,6
72,h,s,7
73,s,h,1
73,s,s,2
73,s,h,3
73,s,h,4
73,s,h,5
73,s,s,6
73,s,s,7
74,s,s,1
74,s,h,2
74,s,h,3
74,s,h,4
74,s,s,5
74,s,s,6
74,s,h,7
75,h,s,1
75,h,h,2
75,h,s,3
75,h,h,4
75,h,h,5
75,h,h,6
75,h,s,7
76,h,s,1
76,h,h,2
76,h,s,3
76,h,s,4
76,h,s,5
76,h,h,6
76,h,h,7
77,s,h,1
77,s,h,2
77,s,s,3
77,s,s,4
77,s,s,5
77,s,s,6
77,s,h,7
78,s,s,1
78,s,s,2
78,s,h,3
78,s,h,4
78,s,s,5
78,s,s,6
78,s,s,7
79,h,h,1
79,h,s,2
79,h,s,3
79,h,s,4
79,h,s,5
79,h,h,6
79,h,s,7
80,s,s,1
80,s,s,2
80,s,h,3
80,s,h,4
80,s,s,5
80,s,s,6
80,s,h,7
81,h,s,1
81,h,h,2
81,h,s,3
81,h,s,4
81,h,h,5
81,h,h,6
81,h,h,7
82,h,s,1
82,h,h,2
82,h,s,3
82,h,h,4
82,h,s,5
82,h,s,6
82,h,s,7
83,h,h,1
83,h,s,2
83,h,s,3
83,h,s,4
83,h,s,5
83,h,s,6
83,h,s,7
84,s,s,1
84,s,s,2
84,s,h,3
84,s,h,4
84,s,h,5
84,s,s,6
84,s,s,7
85,h,h,1
85,h,h,2
85,h,s,3
85,h,h,4
85,h,s,5
85,h,s,6
85,h,s,7
86,h,h,1
86,h,s,2
86,h,s,3
86,h,s,4
86,h,h,5
86,h,s,6
86,h,s,7
87,h,s,1
87,h,s,2
87,h,s,3
87,h,h,4
87,h,h,5
87,h,s,6
87,h,h,7
88,s,s,1
88,s,s,2
88,s,s,3
88,s,s,4
88,s,h,5
88,s,h,6
88,s,h,7
89,s,h,1
89,s,h,2
89,s,h,3
89,s,h,4
89,s,s,5
89,s,s,6
89,s,s,7
90,h,s,1
90,h,s,2
90,h,h,3
90,h,h,4
90,h,h,5
90,h,h,6
90,h,s,7
91,h,s,1
91,h,h,2
91,h,s,3
91,h,s,4
91,h,h,5
91,h,h,6
91,h,h,7
92,h,h,1
92,h,h,2
92,h,h,3
92,h,s,4
92,h,h,5
92,h,s,6
92,h,h,7
93,h,h,1
93,h,s,2
93,h,s,3
93,h,s,4
93,h,h,5
93,h,s,6
93,h,h,7
94,h,s,1
94,h,h,2
94,h,s,3
94,h,h,4
94,h,h,5
94,h,h,6
94,h,h,7
95,s,h,1
95,s,h,2
95,s,h,3
95,s,h,4
95,s,h,5
95,s,h,6
95,s,h,7
96,s,s,1
96,s,h,2
96,s,h,3
96,s,h,4
96,s,s,5
96,s,s,6
96,s,s,7
97,h,h,1
97,h,h,2
97,h,s,3
97,h,s,4
97,h,h,5
97,h,h,6
97,h,h,7
98,h,s,1
98,h,s,2
98,h,s,3
98,h,s,4
98,h,s,5
98,h,h,6
98,h,s,7
99,h,h,1
99,h,h,2
99,h,s,3
99,h,s,4
99,h,h,5
99,h,h,6
99,h,h,7
100,s,h,1
100,s,h,2
100,s,s,3
100,s,h,4
100,s,h,5
100,s,s,6
100,s,h,7
